time (min),cell1,cell2,cell3,cell4,cell5
108,2.196018805,2.073013146,1.945539051,2.548428888,2.123380342
108.5,2.188402084,2.054301774,2.029687522,2.561244146,2.320397612
109,2.006182478,2.081932366,2.03042515,2.364486133,2.259699329
109.5,2.18188802,2.076746299,2.086236411,2.523373045,2.424003479
110,2.113821882,2.05434393,2.138205105,2.39677787,2.48102622
110.5,2.266404533,2.076166603,2.108551038,2.475098312,2.192186418
111,2.016796869,2.017625636,2.292858189,2.782042943,2.274546339
111.5,1.931660487,2.078758066,2.175780714,2.671617676,2.219212361
112,1.875137704,2.122483084,2.213804658,2.727402465,2.274597271
112.5,1.990120129,2.187621362,2.061327296,2.487102374,2.335074399
113,2.013746831,2.208077448,1.995761144,2.657508706,2.352757934
113.5,1.86531814,2.114682055,2.053151396,2.420020179,2.174093419
114,1.992010904,2.273498879,2.053530947,2.459729155,2.362626627
114.5,2.240594613,2.064822409,1.957713005,2.379114206,2.315736393
115,2.091034566,1.982115776,2.006940021,2.509688332,2.322753574
115.5,2.051996086,2.223399535,1.940718537,2.628822074,2.204747642
116,1.897783475,2.096158668,1.971868615,2.601045681,2.330457123
116.5,2.061353892,2.180067783,1.969699122,2.525467133,2.217616832
117,2.182012797,2.07409149,2.17430978,2.570772187,2.422680609
117.5,2.171798405,2.078529368,1.982076954,2.458891913,2.325355848
118,2.190649662,2.01888537,2.050569827,2.433816551,2.323869302
118.5,1.974396564,2.190608308,2.121205607,2.59381056,2.398640231
119,2.038218725,2.059848651,1.941882444,2.773710196,2.350245392
119.5,2.042232603,2.130136466,1.986860323,2.475098312,2.420588803
120,2.212714302,2.164651048,2.074991574,2.587779243,2.33284926
120.5,2.218405388,1.955531184,2.525216232,2.702379116,2.347571763
121,2.036040323,2.038449344,2.224364717,2.633499568,2.340383861
121.5,1.961452395,2.073002243,2.046463211,2.529141532,2.374629438
122,1.965124482,2.081214323,2.146291365,2.597712438,2.166336568
122.5,2.294222617,2.051996086,1.97840234,2.681982443,2.302150892
123,2.190649662,1.956327806,1.986267671,2.432544262,2.452498059
123.5,2.104819213,2.174663059,2.155451278,2.505499242,2.311985775
124,2.245976338,2.246894195,2.014139831,2.711929486,2.325536637
124.5,2.051463597,2.140226831,1.917265074,2.634356302,2.337270442
125,2.166783775,2.038414034,2.125686468,2.459286434,2.44585933
125.5,2.152245086,1.999194468,1.850437791,2.510018921,2.390632829
126,2.163678855,2.150261707,2.340063935,2.399098882,2.303216982
126.5,2.215748144,2.279286374,2.041526616,2.546031045,2.425833428
127,2.037354787,2.110998653,2.317657316,2.426945002,2.440438125
127.5,2.368236439,2.24203097,2.027459439,2.447669175,2.304288278
128,1.995560569,2.162473863,2.13491371,2.429636345,2.407502549
128.5,1.942767773,2.202724068,1.991538646,2.409804613,2.321698358
129,2.190744813,2.141981057,2.197919228,2.591496525,2.302605705
129.5,2.172576663,2.155336143,2.077537826,2.66369382,2.502652557
130,2.169604394,1.971094021,2.237178502,2.720076924,2.289308047
130.5,2.140767353,2.206734909,1.879628235,2.636996087,2.32221283
131,2.28044041,2.09465694,2.170704848,2.725442362,2.331057851
131.5,2.200532222,2.082930283,1.991135052,2.554545496,2.222903683
132,2.476632022,2.234719216,2.264043057,2.523487134,2.403442976
132.5,2.085671366,2.142477928,2.088312588,2.653888237,2.344967431
133,2.055887567,2.158416191,2.277645581,2.618066835,2.415678936
133.5,1.927467929,2.257128386,2.105038499,2.568225355,2.298892341
134,2.07664126,2.235942195,2.163970629,2.446126306,2.330733949
134.5,2.281872917,2.169441036,2.001480933,2.683175895,2.356804275
135,2.257125488,2.147864827,2.004605808,2.649569026,2.354829877
135.5,2.194455587,2.201730276,2.100293869,2.703217496,2.344294703
136,2.094448526,1.998831726,2.05994153,2.534081082,2.590634535
136.5,2.116809919,2.050112152,2.035310742,2.725552577,2.446324378
137,2.45989995,2.059754586,2.18127741,2.685276475,2.382223815
137.5,2.400644513,2.273257846,2.154026843,2.788829363,2.467299775
138,2.073648342,2.009429071,1.975779259,2.724558044,2.322608802
138.5,2.173854003,2.04764124,2.043840971,2.671820662,2.314457008
139,2.192969081,2.16699435,2.228933115,2.505848258,2.568936969
139.5,2.247126288,2.086328856,2.00673755,2.567207212,2.381781274
140,2.187881586,2.188412394,2.07684095,2.835444006,2.435187902
140.5,2.48358414,2.195256678,2.101084879,2.743887561,2.628076339
141,2.125006398,2.164059273,2.03932226,2.649403348,2.461035615
141.5,2.169441036,2.136479705,2.203986317,2.632784919,2.414915271
142,2.085535618,2.031645216,2.040737965,2.702056349,2.406705794
142.5,2.273369317,2.292332909,2.258079799,2.55336368,2.448023131
143,2.152236966,2.277384707,2.317118885,2.643760053,2.40550105
143.5,2.383060691,2.21163707,2.180304713,2.859590262,2.411229253
144,1.975802582,2.132426407,2.067187372,2.789613644,2.518978329
144.5,2.137477955,2.206288459,2.038107015,2.766121638,2.350209902
145,2.180827116,2.206748058,2.179145444,2.605250432,2.48729189
145.5,2.240871862,2.288117492,2.206003396,2.746588081,2.356458584
146,2.472225457,2.2968456,2.159655642,2.954854621,2.422949623
146.5,2.264628326,2.223780524,2.126694179,2.993477531,2.484630429
147,2.293935569,2.168247257,2.266850325,2.774913952,2.324893711
147.5,2.420270333,2.08113925,2.214866726,2.775705616,2.53748534
148,2.204591011,2.208317847,1.959630219,2.86841125,2.45270474
148.5,2.316060954,2.152701013,2.03141294,2.615115049,2.40437204
149,2.15879833,2.273207949,2.057085869,2.736059829,2.478755455
149.5,2.074526779,2.20388803,2.175975374,2.774064221,2.399441054
150,2.377591434,2.233332248,2.111790935,2.632733382,2.486098286
150.5,2.100209916,2.321898929,2.150382373,2.696168122,2.451169213
151,2.249659719,2.276163538,2.141331337,2.623651204,2.249579815
151.5,2.256201565,2.279282123,1.976787885,2.71526659,2.498358031
152,2.394655066,2.274841079,2.222686782,2.879452634,2.34800569
152.5,2.244909566,2.186022172,1.914578008,2.710763982,2.314192876
153,2.311630614,2.171437856,2.227033225,2.676989616,2.47115181
153.5,2.323372028,2.267231501,2.344884232,2.837259123,2.392555654
154,2.181461882,2.227603118,2.08713304,2.902697496,2.349153451
154.5,2.280097029,2.292892145,2.001480933,2.720888596,2.590290146
155,2.276624192,2.288900755,2.199465738,2.849642191,2.508991704
155.5,2.200206483,2.123306768,2.148824834,2.705726274,2.490839694
156,2.227900868,2.259699024,2.230902887,2.788257417,2.565036154
156.5,2.307567781,2.264198969,2.146303801,2.849841112,2.433097281
157,2.391029829,2.203788766,2.175736558,2.72544382,2.483474458
157.5,2.265715592,2.141347433,2.067737579,2.672269367,2.67245805
158,2.413136346,2.341542698,2.144691761,2.846460693,2.482579086
158.5,2.269307125,2.327710692,2.035310742,2.807430218,2.493399176
159,2.413753238,2.246502972,2.17903124,2.802767613,2.430340981
159.5,2.252686171,2.384102348,2.180446677,2.66093484,2.399141737
160,2.378581927,2.369354373,2.045016124,2.899983645,2.52282471
160.5,2.468370536,2.294252692,2.139624238,2.955971662,2.438219086
161,2.236744599,2.368107395,2.004605808,2.794671416,2.545201682
161.5,2.383624585,2.292725892,2.084633829,2.75852064,2.587993148
162,2.254382815,2.261579796,2.061458627,2.683075063,2.463376833
162.5,2.389157864,2.17185534,2.004605808,2.834036234,2.471328231
163,2.501896785,2.221357129,2.146668135,2.787929234,2.588160917
163.5,2.275181194,2.272118401,2.051803409,2.91277782,2.466871366
164,2.239164632,2.414396905,2.160679494,2.774451139,2.337931579
164.5,2.40206423,2.401949687,2.185930188,3.032650413,2.564418483
165,2.212779381,2.289679763,2.199275413,2.745763274,2.6793831
