time (min),cell1,cell2,cell3,cell4,cell5
108,3.756913279,4.024173336,3.111606455,3.494552937,2.128055202
108.5,3.605198188,3.916829591,3.157858935,3.519362191,1.982115484
109,3.564025712,4.139825013,2.945568991,3.486641463,2.08554976
109.5,3.625608244,4.118359057,2.927726036,3.482967802,1.920949653
110,3.649359098,4.072679962,3.001850288,3.717304742,2.179593417
110.5,3.58725829,4.189604532,2.970301706,3.591760477,2.105847361
111,3.655369093,4.097088823,3.222116532,3.491875433,1.98212406
111.5,3.753347644,4.305872051,3.193200718,3.674291748,1.733388295
112,3.614137744,4.425329213,3.030624656,3.76181399,1.851395781
112.5,3.816077319,4.295093933,3.111986248,3.759593694,1.859310487
113,3.706667761,4.214250574,3.183820933,3.991850528,1.977249527
113.5,3.639224113,4.111601911,3.093459281,3.792561662,2.010698443
114,3.729012091,4.122118795,3.005195945,3.846117565,2.119992998
114.5,3.725599509,4.215102955,3.250683173,3.713984116,1.888856209
115,3.825475771,4.161907654,3.136623853,3.786570648,2.029614019
115.5,3.591973808,4.04548246,3.350415496,3.620682215,2.067379843
116,3.707102554,4.059463253,3.019596378,3.648828486,2.143868736
116.5,3.667884767,4.401430901,3.137860034,3.846257995,2.04490005
117,3.787623243,4.046372482,3.163697829,3.967792513,2.185626498
117.5,3.739857455,4.079317128,3.160261256,3.916522409,2.049536172
118,3.680624847,4.125184559,3.296610713,3.928340476,2.079371315
118.5,3.758548566,4.215795096,3.074363652,3.888399765,2.101366684
119,3.762027335,4.368219995,3.243840451,3.771692115,2.278520299
119.5,3.732013871,4.225217577,3.118619103,4.047966437,2.059490637
120,2.105339698,4.161534832,3.220323718,3.556149796,1.995116146
120.5,2.03036495,4.283239236,3.182086521,3.792256301,2.105440472
121,1.940943865,4.33167718,3.257305552,3.959306722,2.280047564
121.5,1.987121266,4.191094799,3.361011312,3.916802263,2.03477092
122,1.938522631,4.342245179,3.061121424,4.048443646,1.847963851
122.5,2.064533209,4.293321194,3.197287881,3.863589014,2.112162661
123,1.983942406,4.15967857,3.227696277,3.822071779,2.15028132
123.5,2.064992498,4.343475743,3.137302126,4.009656258,2.070983596
124,1.969091643,4.356540043,3.344107192,4.13052758,1.986822543
124.5,2.010893276,4.305734969,3.352250888,3.945705017,2.366863837
125,1.965379372,4.341006345,3.441678004,4.020203936,2.153194053
125.5,2.010035351,4.407396361,3.311849747,3.980050687,2.187272631
126,1.853335715,4.299515142,3.433009034,3.910857421,2.148130457
126.5,1.973249523,4.37916514,3.470215791,3.982221399,2.140606983
127,1.970607408,4.343555821,3.374838344,4.105156148,2.397262152
127.5,2.024617771,4.360574297,3.398432315,4.102352956,2.10070733
128,2.05513555,4.17517972,3.522715192,4.111821717,2.137676626
128.5,1.921007378,4.262525414,3.45818257,4.147800479,1.918219511
129,1.967574841,4.42339043,3.517805887,3.948937848,1.982194814
129.5,1.984981161,4.512947428,3.61095887,4.104150115,2.141047589
130,1.816491084,4.17591362,3.457432455,4.122117053,2.10029574
130.5,2.008042969,4.337961443,3.490647258,4.068630032,2.011253148
131,1.962520572,4.353270161,3.56326211,4.027356347,2.173449895
131.5,1.953999713,4.263564833,3.685816019,3.892932148,2.060251883
132,1.901776552,4.32857516,3.476316104,3.991423933,2.074613828
132.5,1.880760828,4.343179502,3.71285487,4.097988215,2.166497632
133,2.037052835,4.40972561,3.877049032,4.141238021,2.128895752
133.5,1.93368539,4.420400605,3.681414911,4.210720828,2.296305237
134,2.031275665,4.365164132,3.630134532,4.033609635,1.999176872
134.5,2.124620102,4.416435141,3.599022973,4.116977557,2.434535491
135,1.941331189,4.281371453,3.539485204,4.026729859,2.222589149
135.5,2.150735339,4.339897498,3.832648762,4.117474846,2.315362448
136,2.016645436,4.445242578,3.537524597,4.111155142,1.982213436
136.5,2.07102198,4.390598489,1.994091888,4.12664089,2.100537398
137,1.938270765,2.982080089,1.987151261,4.044568149,1.925582726
137.5,2.06849648,3.052085408,1.91990585,4.020326807,2.188468706
138,2.032071297,3.114319825,2.054524174,3.912626849,1.861408008
138.5,1.971497483,3.055059259,2.078209492,4.064093763,2.297069984
139,2.01440458,3.035782141,1.881226059,3.540682895,2.24444944
139.5,2.117902903,3.091422929,2.054839282,3.796933469,2.201383489
140,1.948691806,3.17167907,1.946890289,3.687580385,2.308371649
140.5,1.982688251,3.144366665,2.123842617,3.604059567,1.962845511
141,2.172065814,2.912475401,1.962845511,3.496302664,1.909415126
141.5,1.909977029,2.926710486,1.923353253,3.178035501,2.147037229
142,1.971838683,2.919652492,1.950141022,3.373398838,1.962845511
142.5,2.026994174,3.221153449,1.775790037,3.246155351,2.418147569
143,1.954191636,2.831938302,2.074909042,3.468874419,2.431064042
143.5,2.049727327,3.048808632,2.078758066,3.368919334,2.097519383
144,2.086527783,3.108918259,2.184579942,3.139231105,2.117261263
144.5,1.89831951,3.156711611,1.803125987,3.215659832,2.147037229
145,1.957899955,3.243506568,1.857605901,3.162107255,2.415870109
145.5,1.96738263,2.98194867,1.778812673,3.062759511,2.238333438
146,1.992106213,3.043846905,1.910680237,3.178915125,2.340658942
146.5,1.963746128,2.924997219,2.159415382,3.172943993,2.161285032
147,2.029495873,3.115704002,1.898156871,3.207185297,2.055859939
147.5,2.020923526,3.095821455,2.015304661,2.97348389,2.185734038
148,1.970194858,3.11903318,2.023595095,3.218319291,2.247692477
148.5,2.029909607,2.98080188,1.970708995,3.161013775,2.03559391
