time (min),cell1,cell2,cell3,cell4,cell5
49.16666667,1.000779867,1.000289753,1.001810605,1.00114013,1.004333769
49.33333333,1.00148773,1.00206764,1.006427437,1.008215021,1.002061837
49.5,0.999921552,1.000200859,1.004779068,1.008645418,1.002914685
49.66666667,1.002632149,1.000727875,1.002697652,1.006085146,1.003984241
49.83333333,1.001266985,1.00088979,1.002418267,1.010212272,1.003187317
50,1.000549257,1.000858042,1.004227283,0.998898097,1.003613741
50.16666667,1.000518426,1.001966046,1.002980529,1.014168853,1.002068827
50.33333333,1.000519659,1.001550148,1.002791944,1.009045222,0.999929716
50.5,1.002063639,1.001423156,1.004503175,1.010975976,1.004920976
50.66666667,0.999185326,1.001864453,1.001981729,1.014169635,1.001768233
50.83333333,1.000025142,0.998667432,1.00364756,1.010966259,1.002145723
51,1.001648047,1.002664502,1.002062052,1.009932326,0.999055896
51.16666667,1.001701075,1.000988209,1.005865176,1.009557597,1.002222619
51.33333333,1.001070905,0.999397635,1.006968745,1.014010331,1.000817517
51.5,0.999552822,0.999873855,1.000581313,1.003179421,1.002963619
51.66666667,1.002191893,1.000908839,1.00149979,0.996951037,1.000460998
51.83333333,1.001445801,1.000350074,1.003899006,1.000949534,0.999992631
52,0.999224789,1.0026899,1.004859391,1.007466139,1.002949638
52.16666667,1.002437302,1.001429505,1.004929237,1.00181041,1.004962919
52.33333333,0.999599684,1.001746985,1.00632616,0.996459414,1.001174035
52.5,1.001243554,1.001054879,1.004604452,1.004269063,1.00347393
52.66666667,1.001308914,0.999372237,1.004642868,1.004805155,1.00260011
52.83333333,1.001754103,1.003362957,1.002582406,1.002723413,1.004145023
53,0.999661345,1.000864391,1.001105159,1.005131339,1.001278894
53.16666667,0.999858659,1.002753396,1.002250636,1.002957531,1.003033524
53.33333333,1.000533225,0.999997672,1.001740759,1.002964037,1.000048555
53.5,1.000818096,1.003632815,1.005550868,1.001575592,1.003026534
53.66666667,1.000614617,1.001810481,1.003581206,1.006088523,1.00347393
53.83333333,1.000089269,0.999835757,1.002987513,1.005028938,1.000915385
54,1.001971148,1.001369184,1.00127279,1.010149604,1.000349149
54.16666667,1.000148463,1.004112209,1.005819776,1.013661418,0.999685046
54.33333333,1.000321113,1.000318326,1.002502083,1.005074889,0.998972009
54.5,1.002159829,0.99939446,1.002390329,1.006993332,1.001348799
54.66666667,1.000708341,1.003931246,1.005711514,1.005936218,1.001942997
54.83333333,1.000795899,1.000899314,1.000895621,1.004918179,1.006927266
55,1.002887424,1.002724823,1.004202837,1.001800652,1.001929016
55.16666667,1.001386606,0.999223021,1.004098068,1.002901616,1.00385142
55.33333333,0.999593518,1.000489765,0.999048189,1.000263649,1.001915035
55.5,1.001744237,1.001061229,1.002942113,1.008700262,0.999782914
55.66666667,0.999499794,1.001788258,1.003242452,1.009578143,1.002432336
55.83333333,0.999752603,1.001337436,1.004007267,1.017308532,1.004711259
56,0.998820295,1.002756571,1.002240159,1.013856709,1.004075118
56.16666667,1.001343444,1.00018816,1.004248237,1.015511759,1.001076168
56.33333333,1.000765068,1.001381883,1.003598667,1.014194669,1.003676656
56.5,1.00031248,1.000229432,1.001052774,1.00522604,1.001747261
56.66666667,1.000379073,0.999384936,1.005110837,1.012836075,1.004200948
56.83333333,1.002591453,1.000407221,1.004185375,1.008553969,1.003369071
57,1.002302882,1.001486652,1.003937421,1.004178932,1.005263513
57.16666667,1.00067751,0.999565899,1.003885037,1.014667558,1.003900354
57.33333333,1.000806997,0.999842107,1.001370575,1.004742611,1.002739921
57.5,0.999431968,0.999699241,1.004129498,0.996782304,1.001453658
57.66666667,1.001342211,0.999813534,1.004876852,1.009826879,1.003138383
57.83333333,1.000917986,0.99979766,1.003532314,1.006913371,0.999076867
58,1.000457999,1.000248481,1.005295929,1.008226138,1.000971309
58.16666667,1.001363175,1.001089802,1.00340659,1.012001139,1.002054846
58.33333333,1.001523493,0.997432436,1.006298222,1.004932754,0.999020943
58.5,1.000954983,1.001499351,1.005816283,1.005643673,1.002718949
58.66666667,0.999973347,1.002039067,1.003431037,1.004713665,1.001949988
58.83333333,1.001216423,0.998994436,1.003682483,1.00933402,0.998706368
59,1.00118436,1.002039067,1.00500956,1.010988576,1.001761242
59.16666667,1.001401405,1.00198192,1.004276175,1.004233982,1.000244291
59.33333333,0.999219856,1.000432619,1.001244851,1.006477827,1.000118461
59.5,1.001321246,1.002105737,1.00358819,1.010788221,1.001894063
59.66666667,1.002376874,1.001737461,1.003951391,1.003802226,1.002984591
59.83333333,1.000776167,1.001483477,1.002690667,1.008705079,1.00234845
60,0.99980933,1.001867627,1.003815191,1.003227554,1.000426046
60.16666667,1.001432235,1.001997794,1.005149252,1.007943598,1.004445618
60.33333333,1.002540891,1.001642217,1.002502083,1.009677168,1.000132442
60.5,1.000901955,1.001880327,1.006036299,1.008684616,1.00147463
60.66666667,1.001686277,1.001972396,1.004321575,1.012688465,1.001362781
60.83333333,1.002247387,1.001419981,1.00296656,1.010020852,1.000908394
61,1.00114613,0.999794485,1.003982821,1.007198999,0.999461348
61.16666667,0.999295081,1.001204095,1.002131898,1.005062701,1.002670015
61.33333333,1.001229989,1.00175016,1.003546283,1.004916738,1.00272594
61.5,1.000885923,0.999210322,1.003389129,1.003028022,1.006402974
61.66666667,1.001027742,1.000778672,1.002854806,1.012554565,1.002236601
61.83333333,1.001424836,1.001813656,1.005023529,1.009851871,1.000433036
62,1.000910587,0.999423033,1.004276175,1.006247374,1.002082808
62.16666667,1.000973481,1.001794607,1.004562545,1.006464652,1.001817167
62.33333333,1.000978414,1.000146887,1.002463667,1.003250694,1.00185212
62.5,1.000610917,1.000689778,1.002606852,1.008969131,1.003655684
