fov_id;chnl_id;lineage_times;fl_totals;fl_concs
10;1249;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[37007 19525 14731 16514 17741 16619 14986 15637 15534 14730 13250 13819
 11775 12314 12384 12478 11642]";"[7.43709807 9.1068097  9.37804587 8.38451649 8.96574832 8.3020825
 8.02113887 7.99650375 7.52246668 8.06649512 7.28939033 7.28974704
 6.23061717 6.39329524 6.63190616 6.33535163 5.69257313]"
10;515;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[25927 17443 13144 18956 17283 16408 15080 13799 14765 13812 12429 11793
 11463 11074 11264 11250 10625]";"[6.00162037 5.6195232  5.39090435 8.80512395 7.36894918 6.9458149
 6.43565296 7.25044236 6.81568434 6.3886354  5.10681597 5.24602042
 4.90996181 5.13158669 4.81690312 5.00447128 5.1318234 ]"
10;1030;[  1  31  61  91 121 151 211 241 271 331 361 391 421 451 481];"[27083 26203 38192 42261 40574 40001 13991 12046 12251 10085 10212  9965
  9601  9010  8744]";"[ 8.22191864 10.29992138  8.79189687  8.01612291  7.76090283  8.01302083
  7.06240339  6.04368426  5.69795779  5.31734481  5.55035713  4.56726879
  4.33654116  4.94124551  4.3327753 ]"
10;1323;[  1  61  91 121 151 181 241 271 301 331 361 391 421 451 481];"[21018 26454 35938 34963 36419 32383 29147 28988 28451 30374 31264 20956
 22381 21909 21852]";"[6.59284818 6.14066852 7.92283951 7.92452403 8.28457689 7.702902
 7.88952764 6.74540232 5.83956558 7.50175    6.65037785 5.06124073
 5.1460163  4.26513293 4.01147271]"
10;1102;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[41381 27073 20136 26279 28281 25841 23800 25089 22724 21435 21766 21576
 21814 20262 22904 18886 18220]";"[ 8.39711851  7.94862008  8.50966847  9.78379942 11.00686271 10.42585703
  9.88334666 10.71141929  8.63892497  9.19801549  8.33535503  9.39144329
  9.34057516  8.6875458   8.66489576  7.72041279  7.86796373]"
10;1397;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[22544 14965 14372 18977 20505 17622 17284 13953 13933 17111 14759 13742
 13773 13610 11241 12088 10559]";"[6.69756387 5.23617915 5.28302577 6.95066438 7.91897358 7.90436204
 7.56731454 6.88629645 6.07049859 6.87380859 6.46181412 5.36344015
 5.36040168 5.82538105 4.85939535 4.82363774 5.17183692]"
10;220;[  1  31 151 181 211 241 271 301 331 361 391 421 451 481];"[25295 18380 17764 16926 15014 16916 15817 15075 14190 14204 12573 12702
 12595 12999]";"[6.3651233  5.2937788  7.95422095 7.29290114 8.259842   7.26040897
 6.70900439 7.34530263 6.34922711 6.59792382 6.35076169 6.18905698
 6.14403814 6.31655314]"
11;1024;[  1  31  61 121 151 181 211 241 271 301 331 361 391 421 451 481];"[13063 24840 19714 10688  7746  7416  6382  5213  5671  5129  5329  5019
  4097  4559  4065  3522]";"[8.88639456 7.84586229 7.96203554 7.53778331 6.84949176 7.46418399
 6.62470006 4.70566858 4.73398327 4.83191137 4.51039214 3.99619689
 3.4053277  3.57156229 3.4034254  3.04796876]"
12;736;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[17546 35635 26839 28809 11907  9539  8635  8103  7141  6648  6409  6398
  6081  5816  5933  5467  5123]";"[6.84855582 8.72978932 8.52573062 9.9        9.29506527 7.1894096
 6.69550505 6.22229499 5.43407288 5.13796551 4.60595047 4.9447508
 4.92851845 4.5096766  4.26495708 3.97676325 3.92471655]"
12;1473;[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481];"[35901 24904 21233 25007 23577 24044 20911 21772 21077 15473 14796 14630
 16006 15650 16051 13763 12738]";"[ 6.53696286  6.16130628  7.34232564  9.52050475  9.41165796 10.08470585
  8.59711936  9.41186332  8.64018647  6.30743892  6.50291812  5.36333934
  6.53019844  6.10680185  7.09676635  5.77449916  5.34737481]"
