fov_id;chnl_id;lineage_times;fl_totals;fl_concs
19;1302;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[ 62279  79690  95476 119266  74289  68377  71965  77077  74265  76980
  75749  73518  65441  72090  79449  78871 108148 111161 110272 111022]";"[14.27471012 16.82121368 16.83013404 16.70714243 19.37517254 17.84222727
 19.43117823 20.36016356 20.95010815 21.9469714  21.59601373 20.86723721
 17.17470182 17.72901457 22.66109599 20.69934608 27.62766031 31.26017742
 27.44325018 28.033469  ]"
20;1448;"[  1  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511 541
 571]";"[40829 32026 39100 44813 55833 52588 48000 52394 47477 48138 47767 47168
 46917 44646 44273 42227 42361 42566 40442]";"[ 7.33806614  8.61109703  9.01174632  8.90687254 12.02529142 12.06612894
 10.10742527 11.10755149 10.44366102 10.56274477 10.94378956  9.73117139
 10.74594433 10.14831477 11.15432526 10.34050632 11.98732281  9.77243129
 10.35341626]"
20;1082;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[121411  68512  85404 108873 128195 128388 116765 113134 105319 104806
 102041 104113  98003 103806  94254  93112  93415  91663  93820  90512]";"[13.60632858 13.7112409  15.89336375 18.12946915 20.53083632 19.10311122
 17.67718058 18.97311335 17.4800121  17.79306392 17.1328158  16.77389779
 16.80536145 17.50952449 16.15962677 16.6795431  17.41880028 18.89331733
 16.45307333 16.7911588 ]"
20;1596;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[13079 19735 26069 36923 16159 20079 18503 18842 17448 16559 16394 16389
 15687 16730 17709 15282 17208 16531 14712 16176]";"[ 8.13370647  7.71501173  7.52569284  8.05475567  8.329678    9.93661724
  9.59836801  9.89831227 10.27331112 10.47368547  9.77734157  9.40449461
  8.45007889 10.09621669  9.36065126  8.889794    9.08425229  9.27288395
  7.90638832  8.92344688]"
21;127;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[64133 72196 98465 56757 73626 85919 83588 73794 67316 65894 66072 61371
 64685 59870 63652 59402 62177 62760 59182 58775]";"[11.08467598 10.94965414 13.28196065 18.03105348 18.67996747 20.01811569
 23.46720594 19.11500926 18.11804307 17.88998188 18.14948051 18.3198689
 17.2534196  17.00613772 17.0346767  16.97297803 18.39767386 16.66468301
 18.14380791 16.88292557]"
21;787;"[  1  31  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511 541
 571]";"[45404 57231 84055 49796 60292 59126 58033 57036 55259 57624 60427 60603
 58392 63429 65291 64425 70715 71162 69447]";"[13.33842538 14.51090264 14.86120934 15.75911171 17.91667814 19.34911454
 20.58698027 22.421989   20.38216942 20.44194303 23.39799436 23.67170929
 22.12639812 25.87793365 23.5962417  23.28326832 30.7803074  29.02532554
 25.29347003]"
22;267;[  1  31 121 151 181 211 241 271 301 331 361 391 421 451 481 511 541 571];"[ 99193 101502  62977  74014  59035  61793  61953  51507  53641  44461
  41449  41955  42262  38477  42990  50876  48981  45733]";"[23.68505253 18.75498891 18.77370123 20.93312746 20.72639024 21.48263
 21.8187012  16.55289331 15.87328285 16.25891818 14.32006264 14.94858456
 13.95750328 14.08617632 14.10919395 17.66998203 16.31294284 15.3175828 ]"
22;564;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[38712 54796 52591 66538 67354 70266 64641 65356 62666 57202 58814 57050
 50366 50636 47915 47625 47332 46234 45908 46616]";"[16.3667006  22.55742496 20.23414563 20.19574196 18.97615386 17.26423758
 17.22730735 16.02698447 17.70950862 17.54599247 17.61434602 17.63879333
 15.23878771 13.91822795 13.25855921 14.5696619  15.24651739 15.44877283
 14.30805132 15.08365477]"
22;196;[  1  31  61 121 151 181 211 241 271 301 331 361 391 421 451];"[54601 28664 40694 33779 40581 39412 37172 38857 41576 34924 34754 32535
 33092 32042 29312]";"[20.98424289 15.25492283 16.54227642 15.22931439 17.11685565 16.51263863
 18.42910595 18.82137823 18.34137908 16.07091962 17.16269392 16.33293938
 16.42630444 14.11074718 16.79965254]"
23;564;"[  1  31  61  91 121 151 181 211 241 271 301 331 361 391 421 451 481 511
 541 571]";"[36834 55319 51154 64948 67761 68243 62890 60405 61049 56474 58480 57389
 47119 46882 47601 46162 48157 45991 45251 46245]";"[15.37613984 21.58516095 16.80465203 20.73388251 18.22574052 17.82027399
 18.3300033  18.90541419 18.14591323 14.00162034 17.98442601 16.0334452
 14.26580371 14.85693717 15.09976217 13.82516817 15.02745018 14.31317635
 13.98160616 14.96360938]"
